與	與/SL
한다"는	하/VX+ㄴ다/EF+"/SS+는/JX
주장도	주장/NNG+도/JX
나온	나오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다	전하/VV+여/EC+지/VX+었/EP+다/EF

나아가	나아가/VV+아/EC
성인을	성인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
강간	강간/NNG
및	및/MAG
강제추행에	강제추행/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
친고제를	친고/NNG+제/XSN+를/JKO
폐지키로	폐지하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

아동ㆍ청소년ㆍ장애인	아동/NNG+ㆍ/SP+청소년/NNG+ㆍ/SP+장애인/NNG
대상	대상/NNG
성폭력	성폭력/NNG
범죄에	범죄/NNG+에/JKB
대해서만	대하/VV+여서/EC+만/JX
친고제가	친고/NNG+제/XSN+가/JKS
적용되지	적용되/VV+지/EC
않던	않/VX+던/ETM
것을	것/NNB+을/JKO
사실상	사실상/NNG
모든	모든/MM
성범죄로	성범죄/NNG+로/JKB
확대한	확대하/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

또한	또한/MAG
신상공개가	신상공개/NNG+가/JKS
이뤄지는	이루어지/VV+는/ETM
성범죄자의	성범죄자/NNG+의/JKG
대상도	대상/NNG+도/JX
대폭	대폭/MAG
확대할	확대하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
정부	정부/NNG
측에	측/NNB+에/JKB
촉구키로	촉구하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

신상공개제도가	신상공개제도/NNG+가/JKS
첫	첫/MM
시행된	시행되/VV+ㄴ/ETM
2000년부터	2000/SN+년/NNB+부터/JX
신상공개가	신상공개/NNG+가/JKS
이뤄지도록	이루어지/VV+도록/EC
하고	하/VX+고/EC
벌금형을	벌금형/NNG+을/JKO
선고받은	선고/NNG+받/VV+은/ETM
범죄자도	범죄자/NNG+도/JX
신상공개	신상공개/NNG
대상에	대상/NNG+에/JKB
포함토록	포함하/VV+도록/EC
한	하/VX+ㄴ/EF
것이다	것/NNB+이/VCP+다/EC

나아가	나아가/VV+아/EC
성범죄자의	성범죄자/NNG+의/JKG
주소지도	주소지/NNG+도/JX
기존	기존/NNG
읍면동까지	읍면동/NNG+까지/JX
공개하던	공개하/VV+던/ETM
것을	것/NNB+을/JKO
아파트의	아파트/NNG+의/JKG
경우	경우/NNG
동ㆍ호수까지	동/NNG+ㆍ/SP+호수/NNG+까지/JX
알리는	알리/VV+는/ETM
방안을	방안/NNG+을/JKO
추진키로	추진하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

특위는	특위/NNG+는/JX
성범죄자의	성범죄자/NNG+의/JKG
취업제한	취업제한/NNG
대상	대상/NNG
사업장의	사업장/NNG+의/JKG
범위도	범위/NNG+도/JX
확대키로	확대하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

김희정	김희정/NNP
의원은	의원/NNG+은/JX
"성범죄자	"/SS+성범죄자/NNG
취업제한	취업제하/VV+ㄴ/ETM
대상을	대상/NNG+을/JKO
기존	기존/NNG
`아동ㆍ청소년을	`/SW+아동/NNG+ㆍ/SP+청소년/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
시설'에서	시설/NNG+'/SS+에서/JKB
`아동ㆍ청소년의	`/SW+아동/NNG+ㆍ/SP+청소년/NNG+의/JKG
이용이	이용/NNG+이/JKS
제한되지	제한되/VV+지/EC
않는	않/VX+는/ETM
시설'로	시설/NNG+'/SS+로/JKB
확대할	확대하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구하기로	촉구하/VV+기/ETN+로/JKB
했다"며	하/VV+였/EP+다/EF+"/SS+며/EC
"여기에는	"/SS+여기/NP+에/JKB+는/JX
연예인기획사,	연예인기획/NNG+사/XSN+,/SP
아동ㆍ청소년	아동/NNG+ㆍ/SP+청소년/NNG
관련	관련/NNG
이벤트ㆍ프로그램	이벤트/NNG+ㆍ/SP+프로그램/NNG
운영기관,	운영기관/NNG+,/SP
PC방	PC/SL+방/NNG
등도	등/NNB+도/JX
추가돼야	추가되/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

특위는	특위/NNG+는/JX
최근	최근/NNG
발생한	발생하/VV+ㄴ/ETM
성범죄의	성범죄/NNG+의/JKG
동기	동기/NNG
중	중/NNB
하나로	하나/NNG+로/JKB
음란물이	음란물/NNG+이/JKS
꼽힌다는	꼽히/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
아동ㆍ청소년을	아동/NNG+ㆍ/SP+청소년/NNG+을/JKO
이용한	이용하/VV+ㄴ/ETM
음란물에	음란물/NNG+에/JKB
대해선	대하/VV+여서/EC+ㄴ/JX
형량을	형량/NNG+을/JKO
대폭	대폭/MAG
강화키로	강화하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
음란물을	음란물/NNG+을/JKO
제작ㆍ수출입한	제작/NNG+ㆍ/SP+수/NNG+출입하/VV+ㄴ/ETM
사람에	사람/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
현재의	현재/NNG+의/JKG
5년이상	5/SN+년/NNB+이상/NNG
징역에서	징역/NNG+에서/JKB
10년이상	10/SN+년/NNB+이상/NNG
20년이하	20/SN+년/NNB+이하/NNG
징역으로	징역/NNG+으로/JKB
높이고,	높이/VV+고/EC+,/SP
영리를	영리/NNG+를/JKO
목적으로	목적/NNG+으로/JKB
판매ㆍ대여ㆍ전시ㆍ상영한	판매/NNG+ㆍ/SP+대여/NNG+ㆍ/SP+전시/NNG+ㆍ/SP+상영하/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
10년	10/SN+년/NNB
이하	이하/NNG
징역을	징역/NNG+을/JKO
적용받는다	적용/NNG+받/VV+는다/EF

이를	이/NP+를/JKO
소지만	소지/NNG+만/JX
해도	하/VV+여도/EC
기존	기존/NNG
2천만원	2/SN+천만/NR+원/NNB
이하의	이하/NNG+의/JKG
벌금형에서	벌금형/NNG+에서/JKB
1년	1/SN+년/NNB
이하	이하/NNG
징역	징역/NNG
또는	또는/MAG
2천만원	2/SN+천만/NR+원/NNB
이하	이하/NNG
벌금에	벌금/NNG+에/JKB
처하도록	처하/VV+도록/EC
하는	하/VX+는/ETM
방안도	방안/NNG+도/JX
함께	함께/MAG
추진된다	추진되/VV+ㄴ다/EF

이와	이/NP+와/JKB
함께	함께/MAG
특위는	특위/NNG+는/JX
성범죄	성범죄/NNG
예방	예방/NNG
차원에서	차원/NNG+에서/JKB
형기를	형기/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
범죄자에	범죄자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보호관찰	보호관찰/NNG
부과	부과/NNG
보호치료감호기간	보호치료감호기간/NNG
상한제	상한/NNG+제/XSN
폐지	폐지/NNG
`12세	`/SW+12/SN+세/NNB
이하	이하/NNG
아동	아동/NNG
홀로	홀로/MAG
방치	방치/NNG
금지'	금지/NNG+'/SS
법안	법안/NNG
추진	추진/NNG
등을	등/NNB+을/JKO
당정협의	당정협의/NNG
과정에서	과정/NNG+에서/JKB
관철해	관철하/VV+여/EC
나가기로	나가/VX+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
"정부의	"/SS+정부/NNG+의/JKG
내년	내년/NNG
예산	예산/NNG
편성	편성/NNG
시	시/NNG
모든	모든/MM
초등학교에의	초등학교/NNG+에의/JKG
사회복지사	사회복지/NNG+사/XSN
배치를	배치/NNG+를/JKO
의무화하는	의무화하/VV+는/ETM
방안을	방안/NNG+을/JKO
추진할	추진하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

새누리당은	새누리당/NNP+은/JX
27일	27/SN+일/NNB
김황식	김황식/NNP
국무총리	국무총리/NNG
주재로	주재/NNG+로/JKB
`성폭력	`/SW+성폭력/NNG
등	등/NNB
사회안전	사회안전/NNG
저해	저해/NNG
범죄관련	범죄관련/NNG
관계장관회의'가	관계장관회의/NNG+'/SS+가/JKS
열린다는	열리/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
이날	이날/NNG
회의	회의/NNG
직후	직후/NNG
이	이/NP
같은	같/VA+은/ETM
성폭력	성폭력/NNG
근절	근절/NNG
대책을	대책/NNG+을/JKO
정부	정부/NNG
측에	측/NNB+에/JKB
전달했고	전달하/VV+였/EP+고/EC
30일	30/SN+일/NNB
고위당정회의를	고위당정회의/NNG+를/JKO
개최한다	개최하/VV+ㄴ다/EF

김	김/NNP
의원은	의원/NNG+은/JX
"고위당정회의	"/SS+고위당정회의/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
관계	관계/NNG
법령	법령/NNG
개정,	개정/NNG+,/SP
예산	예산/NNG
편성을	편성/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
실효성	실효성/NNG
있는	있/VA+는/ETM
대책을	대책/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

kbeomh@yna	kbeomh/SL+@/SW+yna/SL

co	co/SL

krjun@yna	krjun/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
