12일간	12/SN+일/NNB+간/XSN
고혹적인	고혹적/NNG+이/VCP+ㄴ/ETM
문화공연이	문화공연/NNG+이/JKS
펼쳐지며	펼쳐지/VV+며/EC
관중들을	관중/NNG+들/XSN+을/JKO
매료시켰고,	매료/NNG+시키/XSV+었/EP+고/EC+,/SP
화려한	화려하/VA+ㄴ/ETM
조형물과	조형물/NNG+과/JC
폭풍을	폭풍/NNG+을/JKO
해치며	해치/VV+며/EC
항해하는	항해하/VV+는/ETM
항해사를	항해사/NNG+를/JKO
형성화한	형성화하/VV+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
퍼포먼스가	퍼포먼스/NNG+가/JKS
이어지며	이어지/VV+며/EC
환상적인	환상적/NNG+이/VCP+ㄴ/ETM
무대가	무대/NNG+가/JKS
펼쳐졌다	펼쳐지/VV+었/EP+다/EF

이어	이어/MAG
런던패럴림픽에	런던/NNP+패럴림픽/NNG+에/JKB
참가한	참가하/VV+ㄴ/ETM
모든	모든/MM
나라의	나라/NNG+의/JKG
국기가	국기/NNG+가/JKS
행렬을	행렬/NNG+을/JKO
지으며	짓/VV+으며/EC
경기장	경기장/NNG
중앙에	중앙/NNG+에/JKB
하트모양을	하트모양/NNG+을/JKO
그리며	그리/VV+며/EC
집결했고,	집결하/VV+였/EP+고/EC+,/SP
곧이어	곧이어/MAG
화려한	화려하/VA+ㄴ/ETM
불꽃이	불꽃/NNG+이/JKS
일어나며	일어나/VV+며/EC
경기장	경기장/NNG
안에는	안/NNG+에/JKB+는/JX
불타는	불타/VV+는/ETM
하트가	하트/NNG+가/JKS
그려졌다	그리/VV+어/EC+지/VX+었/EP+다/EF

봄,	봄/NNG+,/SP
여름,	여름/NNG+,/SP
가을,	가을/NNG+,/SP
겨울에	겨울/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
형상화한	형상화하/VV+ㄴ/ETM
예술적	예술적/NNG
무대도	무대/NNG+도/JX
인상적이었다	인상적/NNG+이/VCP+었/EP+다/EF

겨울	겨울/NNG
공연에서는	공연/NNG+에서/JKB+는/JX
여섯	여섯/NR
명의	명/NNB+의/JKG
인라인	인라인/NNG
스케이트	스케이트/NNG
보더가	보/VV+더가/EC
눈의	눈/NNG+의/JKG
여왕으로부터	여왕/NNG+으로부터/JKB
해빙되는	해빙되/VV+는/ETM
모습을	모습/NNG+을/JKO
연출했고,	연출하/VV+였/EP+고/EC+,/SP
봄	봄/NNG
공연에서는	공연/NNG+에서/JKB+는/JX
120명의	120/SN+명/NNB+의/JKG
어린이가	어린이/NNG+가/JKS
생선	생선/NNG
형상화를	형상화/NNG+를/JKO
한	한/MM
트럭에서	트럭/NNG+에서/JKB
나와	나오/VV+아/EC
필드	필드/NNG
위를	위/NNG+를/JKO
거침	거치/VV+ㅁ/ETN
없이	없이/MAG
달리며	달리/VV+며/EC
감동적인	감동적/NNG+이/VCP+ㄴ/ETM
공연을	공연/NNG+을/JKO
펼쳤다	펼치/VV+었/EP+다/EC

개막	개막/NNG
오픈공연	오픈공연/NNG
후는	후/NNG+는/JX
자유로운	자유롭/VA+ㄴ/ETM
분위기의	분위기/NNG+의/JKG
축제가	축제/NNG+가/JKS
이어졌다	이어지/VV+었/EP+다/EF

폐막식의	폐막식/NNG+의/JKG
주인공인	주인공/NNG+이/VCP+ㄴ/ETM
선수들은	선수/NNG+들/XSN+은/JX
경쟁상대로	경쟁상대/NNG+로/JKB
만난	만나/VV+ㄴ/ETM
각국의	각국/NNG+의/JKG
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
우정을	우정/NNG+을/JKO
나누며,	나누/VV+며/EC+,/SP
4년	4/SN+년/NNB
후	후/NNG
리우데자네이루에서	리우데자네이루/NNP+에서/JKB
다시	다시/MAG
만날	만나/VV+ㄹ/ETM
것을	것/NNB+을/JKO
기약했다	기약하/VV+였/EP+다/EC

한편,	한편/NNG+,/SP
이번	이번/NNG
패럴림픽에서는	패럴림픽/NNG+에서/JKB+는/JX
중국이	중국/NNP+이/JKS
금	금/NNG
95개,	95/SN+개/NNB+,/SP
은	은/NNG
71,	71/SN+,/SP
동	동/NNG
65개를	65/SN+개/NNB+를/JKO
획득하며	획득하/VV+며/EC
압도적인	압도적/NNG+이/VCP+ㄴ/ETM
1위를	1/SN+위/NNB+를/JKO
차지했고,	차지하/VV+였/EP+고/EC+,/SP
개최국인	개최국/NNG+이/VCP+ㄴ/ETM
영국은	영국/NNP+은/JX
금3	금/NNG+3/SN
3,	3/SN+,/SP
은	은/NNG
42,	42/SN+,/SP
동	동/NNG
43개를	43/SN+개/NNB+를/JKO
획득하며	획득하/VV+며/EC
3위를	3/SN+위/NNB+를/JKO
기록했다	기록하/VV+였/EP+다/EC

13개	13/SN+개/NNB
종목	종목/NNG
147명의	147/SN+명/NNB+의/JKG
선수	선수/NNG
및	및/MAG
임원이	임원/NNG+이/JKS
참석한	참석하/VV+ㄴ/ETM
한국은	한국/NNP+은/JX
대회전	대/XPN+회전/NNG
예상	예상/NNG
메달에는	메달/NNG+에/JKB+는/JX
못	못/MAG
미쳤지만,	미치/VV+었/EP+지만/EC+,/SP
종합	종합/NNG
13위	13/SN+위/NNB
이상을	이상/NNG+을/JKO
수립한다는	수립하/VV+ㄴ다는/ETM
목표는	목표/NNG+는/JX
달성했다	달성하/VV+였/EP+다/EF

메달현황으로는	메달현황/NNG+으로/JKB+는/JX
사격	사격/NNG
금	금/NNG
3,	3/SN+,/SP
동	동/NNG
1,	1/SN+,/SP
수영	수영/NNG
금	금/NNG
2,	2/SN+,/SP
동	동/NNG
1,	1/SN+,/SP
탁구	탁구/NNG
금	금/NNG
1,	1/SN+,/SP
은	은/NNG
4,	4/SN+,/SP
동	동/NNG
4,	4/SN+,/SP
보치아	보치/VV+아/EC
금	금/NNG
1,	1/SN+,/SP
은	은/NNG
1,	1/SN+,/SP
동1,	동/NNG+1/SN+,/SP
양궁	양궁/NNG
금	금/NNG
1은	1/SN+은/JX
2,	2/SN+,/SP
유도	유도/NNG
금	금/NNG
1,	1/SN+,/SP
육상	육상/NNG
은	은/JX
2,	2/SN+,/SP
동	동/NNG
1,	1/SN+,/SP
역도	역도/NNG
동	동/NNG
1개를	1/SN+개/NNB+를/JKO
따냈다	따/VV+아/EC+내/VX+었/EP+다/EF

개막식에	개막식/NNG+에/JKB
앞서	앞서/VV+어/EC
장춘배	장춘배/NNP
단장은	단장/NNG+은/JX
기자단과	기자단/NNG+과/JKB
가진	가지/VV+ㄴ/ETM
패럴림픽	패럴림픽/NNG
회견을	회견/NNG+을/JKO
통해	통하/VV+여/EC
“한국	“/SL+한국/NNP
선수들의	선수/NNG+들/XSN+의/JKG
투혼이	투혼/NNG+이/JKS
빛난	빛나/VV+ㄴ/ETM
대회	대회/NNG
였다”며	이/VCP+었/EP+다”며/EC
“차기	“/SL+차기/NNG
대회	대회/NNG
선전을	선전/NNG+을/JKO
위해	위하/VV+여/EC
향후	향후/NNG
선수들이	선수/NNG+들/XSN+이/JKS
훈련에만	훈련/NNG+에/JKB+만/JX
집중할	집중하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
환경	환경/NNG
조성을	조성/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+여/EC
노력할	노력하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

차기대회는	차기대회/NNG+는/JX
2016년	2016/SN+년/NNB
브라질	브라질/NNP
리우데자네이루에서	리우데자네이루/NNP+에서/JKB
펼쳐진다	펼치/VV+어/EC+지/VX+ㄴ다/EC

*이	*/SW+이/MM
기사는	기사/NNG+는/JX
2012런던장애인올림픽	2012/SN+런던/NNP+장애인올림픽/NNG
장애인·복지언론	장애인/NNG+·/SP+복지언론/NNG
공동취재단	공동취재/NNG+단/XSN
소속	소속/NNG
이신형	이신형/NNG
기자가	기자/NNG+가/JKS
작성한	작성하/VV+ㄴ/ETM
기사입니다	기사/NNG+이/VCP+ㅂ니다/EF

공동취재단은	공동취재/NNG+단/XSN+은/JX
복지연합신문,	복지연합신문/NNG+,/SP
에이블뉴스,	에이블뉴스/NNP+,/SP
장애인복지신문,	장애인복지신문/NNG+,/SP
장애인생활신문,	장애인생활신문/NNG+,/SP
장애인신문으로	장애인신문/NNG+으로/JKB
구성되어	구성되/VV+어/EC
있습니다	있/VX+습니다/EF
