<밝은	</SS+밝/VA+은/ETM
눈물	눈물/NNG
반,	반/NNG+,/SP
웃음	웃음/NNG
반으로	반/NNG+으로/JKB
우승의	우승/NNG+의/JKG
기쁨을	기쁨/NNG+을/JKO
표현하고	표현하/VV+고/EC
있는	있/VX+는/ETM
최예진의	최예진/NNP+의/JKG
사진은	사진/NNG+은/JX
런던에서	런던/NNP+에서/JKB
조세현	조세현/NNP
작가가	작가/NNG+가/JKS
미리	미리/MAG
찍어둔	찍/VV+어/EC+두/VX+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

곧	곧/MAG
활짝	활짝/MAG
웃는	웃/VV+는/ETM
최예진과	최예진/NNP+과/JC
문우영	문우영/NNP
트레이너의	트레이너/NNG+의/JKG
사진이	사진/NNG+이/JKS
스튜디오	스튜디오/NNG
모니터에	모니터/NNG+에/JKB
떴다	뜨/VV+었/EP+다/EF

25일	25/SN+일/NNB
사진작가	사진작가/NNG
조세현	조세현/NNP
씨의	씨/NNB+의/JKG
스튜디오에	스튜디오/NNG+에/JKB
2012	2012/SN
패럴림픽	패럴림픽/NNG
메달리스트들의	메달리스트/NNG+들/XSN+의/JKG
촬영회가	촬영회/NNG+가/JKS
열렸다	열리/VV+었/EP+다/EC

이날	이날/NNG
오전에는	오전/NNG+에/JKB+는/JX
보치아	보치아/NNP
금메달리스트	금메달리스트/NNG
최예진과	최예진/NNP+과/JC
양궁	양궁/NNG
남녀	남녀/NNG
단체팀이	단체팀/NNG+이/JKS
서울	서울/NNP
강남의	강남/NNP+의/JKG
스튜디오를	스튜디오/NNG+를/JKO
찾았다	찾/VV+았/EP+다/EC

대한장애인체육회의	대한/NNP+장애인체육회/NNG+의/JKG
이사로도	이사/NNG+로/JKB+도/JX
활동하는	활동하/VV+는/ETM
조세현	조세현/NNP
작가가	작가/NNG+가/JKS
장애인	장애인/NNG
국가대표	국가대표/NNG
선수들을	선수/NNG+들/XSN+을/JKO
스튜디오에	스튜디오/NNG+에/JKB
부른	부르/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
세	세/MM
번째다	번째/NNB+이/VCP+다/EF

2008년과	2008/SN+년/NNB+과/JC
2009년에도	2009/SN+년/NNB+에/JKB+도/JX
선수들을	선수/NNG+들/XSN+을/JKO
스튜디오로	스튜디오/NNG+로/JKB
초청했다	초청하/VV+였/EP+다/EC

이때	이때/NNG
찍은	찍/VV+은/ETM
사진들은	사진/NNG+들/XSN+은/JX
2009년,	2009/SN+년/NNB+,/SP
2010년	2010/SN+년/NNB
대한장애인체육회가	대/XPN+한장애인체육회/NNG+가/JKS
발행한	발행하/VV+ㄴ/ETM
달력에	달력/NNG+에/JKB
쓰였고	쓰이/VV+었/EP+고/EC
큰	크/VA+ㄴ/ETM
액자에	액자/NNG+에/JKB
걸려	걸리/VV+어/EC
이천장애인체육종합훈련원의	이천장애인체육종합훈련원/NNG+의/JKG
곳곳을	곳곳/NNG+을/JKO
꾸몄다	꾸미/VV+었/EP+다/EF

지난번	지난번/NNG
촬영에서는	촬영/NNG+에서/JKB+는/JX
흑백	흑백/NNG
사진으로	사진/NNG+으로/JKB
선수들의	선수/NNG+들/XSN+의/JKG
'카리스마'를	'/SS+카리스마/NNG+'/SS+를/JKO
드러내는	드러내/VV+는/ETM
것이	것/NNB+이/JKS
촬영	촬영/NNG
의도였다면	의도/NNG+이/VCP+었/EP+다면/EC
이번	이번/NNG
촬영에서는	촬영/NNG+에서/JKB+는/JX
생동감	생동감/NNG
있고	있/VA+고/EC
따뜻한	따뜻하/VA+ㄴ/ETM
선수들의	선수/NNG+들/XSN+의/JKG
표정을	표정/NNG+을/JKO
담을	담/VV+을/ETM
생각이다	생각/NNG+이/VCP+다/EC

국제패럴림픽위원회(IPC)	국제패럴림픽위원회/NNG+(/SS+IPC/SL+)/SS
공식	공식/NNG
사진가로	사진가/NNG+로/JKB
2012	2012/SN
런던	런던/NNP
패럴림픽의	패럴림픽/NNG+의/JKG
현장을	현장/NNG+을/JKO
생생하게	생생하/VA+게/EC
담았던	담/VV+았/EP+던/ETM
조세현	조세현/NNP
작가에게	작가/NNG+에게/JKB
가장	가장/MAG
인상깊었던	인상/NNG+깊/VA+었/EP+던/ETM
장면	장면/NNG
중	중/NNB
하나는	하나/NNG+는/JX
패럴림픽	패럴림픽/NNG
경기를	경기/NNG+를/JKO
즐기는	즐기/VV+는/ETM
영국	영국/NNP
관중의	관중/NNG+의/JKG
모습이었다	모습/NNG+이/VCP+었/EP+다/EF

조세현	조세현/NNP
작가는	작가/NNG+는/JX
패럴림픽	패럴림픽/NNG
관중의	관중/NNG+의/JKG
밝은	밝/VA+은/ETM
분위기와	분위기/NNG+와/JC
한국	한국/NNP
대표선수단의	대표선수단/NNG+의/JKG
활짝	활짝/MAG
웃는	웃/VV+는/ETM
표정을	표정/NNG+을/JKO
한	하/VV+ㄴ/ETM
데	데/NNB
엮어	엮/VV+어/EC
사진	사진/NNG
전시회를	전시회/NNG+를/JKO
열	열/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

전시회는	전시회/NNG+는/JX
11월	11/SN+월/NNB
초	초/NNB
서울	서울/NNP
중심가에서	중심가/NNG+에서/JKB
열릴	열리/VV+ㄹ/ETM
예정이지만	예정/NNG+이/VCP+지만/EC
정확한	정확하/VA+ㄴ/ETM
일정은	일정/NNG+은/JX
잡히지	잡히/VV+지/EC
않았다	않/VX+았/EP+다/EF

이날	이날/NNG
스튜디오를	스튜디오/NNG+를/JKO
찾은	찾/VV+은/ETM
패럴림픽	패럴림픽/NNG
여자	여자/NNG
단체전	단체전/NNG
금메달리스트	금메달리스트/NNG
'숙자매',	'/SS+숙자매/NNG+'/SS+,/SP
이화숙(46),	이화숙/NNP+(/SS+46/SN+)/SS+,/SP
고희숙(45),	고희숙/NNP+(/SS+45/SN+)/SS+,/SP
김란숙(45)'	김란숙/NNP+(/SS+45/SN+)'/SS
역시	역시/MAG
조세현	조세현/NNP
작가가	작가/NNG+가/JKS
찍은	찍/VV+은/ETM
사진을	사진/NNG+을/JKO
보고	보/VV+고/EC
만족스러운	만족스럽/VA+ㄴ/ETM
표정을	표정/NNG+을/JKO
감추지	감추/VV+지/EC
않았다	않/VX+았/EP+다/EF

"고개를	"/SS+고개/NNG+를/JKO
왼쪽으로	왼쪽/NNG+으로/JKB
돌려보세요,	돌려보/VV+시/EP+어요/EC+,/SP
오른쪽으로	오른쪽/NNG+으로/JKB
돌려보세요	돌려보/VV+세요/EF

오른쪽이	오른쪽/NNG+이/JKS
훨씬	훨씬/MAG
예쁘시네!"조	예쁘시/VA+네/EF+!/SF+"/SS+조/NNG
작가의	작가/NNG+의/JKG
넉살에	넉/MM+살/NNB+에/JKB
선수들의	선수/NNG+들/XSN+의/JKG
얼굴에는	얼굴/NNG+에/JKB+는/JX
웃음이	웃음/NNG+이/JKS
떠나질	떠나/VV+지/EC+ㄹ/JX
않았다	않/VX+았/EP+다/EF

그때마다	그때/NNG+마다/JX
밝은	밝/VA+은/ETM
플래시가	플래시/NNG+가/JKS
터졌다	터지/VV+었/EP+다/EC

조세현	조세현/NNP
작가는	작가/NNG+는/JX
"나는	"/SS+나/NP+는/JX
스타를	스타/NNG+를/JKO
전문적으로	전문적/NNG+으로/JKB
찍는	찍/VV+는/ETM
사진가지만	사진가/NNG+이/VCP+지만/EC
이번에는	이번/NNG+에/JKB+는/JX
내	나/NP+의/JKG
카메라를	카메라/NNG+를/JKO
통해	통하/VV+여/EC
장애인	장애인/NNG
국가대표	국가대표/NNG
선수들을	선수/NNG+들/XSN+을/JKO
스타로	스타/NNG+로/JKB
만들어내고	만들/VV+어/EC+내/VX+고/EC
싶다"며	싶/VX+다/EF+"/SS+며/EC
"사진이	"/SS+사진/NNG+이/JKS
좋으면	좋/VA+으면/EC
사람들에게	사람/NNG+들/XSN+에게/JKB
감동을	감동/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

자신이	자신/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
이번	이번/NNG
촬영의	촬영/NNG+의/JKG
의도를	의도/NNG+를/JKO
설명했다	설명하/VV+었/EP+다/EC

junmk@yna	junmk/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
