장애인올림픽	장애인올림픽/NNG
BC2	BC/SL+2/SN
5,	5/SN+,/SP
8위전(손정민)10:05~	8/SN+위/NNB+전/NNG+(/SS+손정민/NNP+)/SS+10/SN+:/SP+05/SN+~/SO
혼성	혼성/NNG
개인	개인/NNG
BC1	BC/SL+1/SN
5,	5/SN+,/SP
8위전(김명수)16:20~	8/SN+위전/NNG+(/SS+김명수/NNP+)/SS+16/SN+:/SP+20/SN+~/SO
혼성	혼성/NNG
개인	개인/NNG
BC3	BC/SL+3/SN
준결승(정호원)16:20~	준결승/NNG+(/SS+정호원/NNP+)/SS+16/SN+:/SP+20/SN+~/SO
혼성	혼성/NNG
개인	개인/NNG
BC3	BC/SL+3/SN
준결승(최예진VS김한수)17:55~	준결승/NNG+(/SS+최예진/NNP+VS/SL+김한수/NNP+)/SS+17/SN+:/SP+55/SN+~/SO
혼성	혼성/NNG
개인	개인/NNG
BC2	BC/SL+2/SN
준결승(정소영)※탁구(엑셀	준결승/NNG+(/SS+정소영/NNP+)/SS+※탁구/NNG+(/SS+엑셀/NNG
N1)10:00~	N/SL+1/SN+)/SS+10/SN+:/SP+00/SN+~/SO
여자	여자/NNG
단체	단체/NNG
Class4-5	Class/SL+4/SN+-/SO+5/SN
준결승(한국VS스웨덴)12:30~	준결승/NNG+(/SS+한국/NNP+VS/SL+스웨덴/NNP+)/SS+12/SN+:/SP+30/SN+~/SO
남자	남자/NNG
단체	단체/NNG
Class3	Class/SL+3/SN
3,4위전(한국VS프랑스)12:30~	3,4/SN+위/NNB+전/NNG+(/SS+한국/NNP+VS/SL+프랑스/NNP+)/SS+12/SN+:/SP+30/SN+~/SO
남자	남자/NNG
단체	단체/NNG
Class1-2	Class/SL+1/SN+-/SO+2/SN
3,4위전(한국VS	3,4/SN+위/NNB+전/NNG+(/SS+한국/NNP+VS/SL
TBA)17:00~	TBA/SL+)/SS+17/SN+:/SP+00/SN+~/SO
여자	여자/NNG
단체	단체/NNG
Class1-3	Class/SL+1/SN+-/SO+3/SN
결승(한국VS	결승/NNG+(/SS+한국/NNP+VS/SL
TBA)※사이클(브랜드햇치)10:30~	TBA/SL+)/SS+※/SN+사이클/NNG+(/SS+브랜드햇치/NNG+)/SS+10/SN+:/SP+30/SN+~/SO
로드	로드/NNP
레이스	레이스/NNG
WH3(김정임)	WH/SL+3/SN+(/SS+김정임/NNP+)/SS
