사랑의집	사랑의집/NNG
출생신고가	출생신고/NNG+가/JKS
가능하도록	가능하/VA+도록/EC
요건을	요건/NNG+을/JKO
강화하고	강화하/VV+고/EC
출산	출산/NNG
이후	이후/NNG
일정기간이	일정기간/NNG+이/JKS
지나면	지나/VV+면/EC
일반	일반/NNG
출생신고요건보다	출생신고요건/NNG+보다/JKB
강화된	강화되/VV+ㄴ/ETM
요건을	요건/NNG+을/JKO
거치도록	거치/VV+도록/EC
할	하/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“장애인수당	“/SN+장애인수당/NNG
등	등/NNB
정부	정부/NNG
지원금을	지원금/NNG+을/JKO
받는	받/VV+는/ETM
자에	자/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
출생신고의	출생신고/NNG+의/JKG
경우,	경우/NNG+,/SP
부모	부모/NNG
등	등/NNB
신고자의	신고자/NNG+의/JKG
의사를	의사/NNG+를/JKO
정확하게	정확하/VA+게/EC
조사하고	조사하/VV+고/EC
출생신고자의	출생신고자/NNG+의/JKG
가정환경	가정환경/NNG
등에	등/NNB+에/JKB
비추어	비추/VV+어/EC
특이	특이/NNG
사항이	사항/NNG+이/JKS
있는지	있/VA+는지/EC
심사하도록	심사하/VV+도록/EC
해야	하/VX+여야/EC
한다”고	하/VX+ㄴ다/EF+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

또한	또한/MAG
“입양제도를	“/SL+입양제도/NNG+를/JKO
통하지	통하/VV+지/EC
않고	않/VX+고/EC
허위로	허위/NNG+로/JKB
친생자출생신고를	친생자출생신고/NNG+를/JKO
하는	하/VV+는/ETM
경우	경우/NNG
입양허가제를	입양허가제/NNG+를/JKO
면탈하는	면탈하/VV+는/ETM
결과가	결과/NNG+가/JKC
되며	되/VV+며/EC
이는	이/NP+는/JX
입양허가제를	입양허가제/NNG+를/JKO
도입한	도입하/VV+ㄴ/ETM
취지를	취지/NNG+를/JKO
몰각하게	몰각하/VA+게/EC
하는	하/VX+는/ETM
결과를	결과/NNG+를/JKO
초래한다”고	초래하/VV+ㄴ다/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

특히	특히/MAG
“장씨	“/SL+장/NNP+씨/NNB
사건처럼	사건/NNG+처럼/JKB
입양아동의	입양아동/NNP+의/JKG
수급권	수급권/NNG
취득	취득/NNG
등	등/NNB
다른	다른/MM
목적을	목적/NNG+을/JKO
위해	위하/VV+여/EC
입양제도가	입양제도/NNG+가/JKS
남용될	남용되/VV+ㄹ/ETM
위험도	위험/NNG+도/JX
존재하는	존재하/VV+는/ETM
만큼	만큼/NNB
입양의	입양/NNG+의/JKG
효력을	효력/NNG+을/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+여/EC
허위로	허위/NNG+로/JKB
친생자출생신고를	친생자출생신고/NNG+를/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
입양특례법에	입양특례법/NNG+에/JKB
준하는	준하/VV+는/ETM
정도의	정도/NNG+의/JKG
벌칙규정을	벌칙규정/NNG+을/JKO
신설할	신설하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다”고/EC
피력했다	피력하/VV+었/EP+다/EC

올	올/NNG
8월부터	8/SN+월/NNB+부터/JX
시행중인	시행/NNG+중/NNB+이/VCP+ㄴ/ETM
입양특례법에	입양특례법/NNG+에/JKB
따르면	따르/VV+면/EC
입양시에는	입양시/NNG+에/JKB+는/JX
반드시	반드시/MAG
가정법원의	가정법원/NNG+의/JKG
허가를	허가/NNG+를/JKO
받도록	받/VV+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

아동	아동/NNG
입양시에는	입양시/NNG+에/JKB+는/JX
친생부모의	친생부모/NNG+의/JKG
입양동의서,	입양동의서/NNG+,/SP
양친될	양친되/VV+ㄹ/ETM
사람의	사람/NNG+의/JKG
가정환경조사서,	가정환경조사서/NNG+,/SP
범죄경력조회	범죄경력조회/NNG
회보	회보/NNG
등	등/NNB
소정의	소정/NNG+의/JKG
서류를	서류/NNG+를/JKO
갖춰	갖추/VV+어/EC
가정법원에	가정법원/NNG+에/JKB
입양을	입양/NNG+을/JKO
청구해야	청구하/VV+여야/EC
한다	하/VX+ㄴ다/EF

이외에도	이외/NNG+에/JKB+도/JX
“양친이	“/SL+양친/NNG+이/JKS
양자를	양자/NNG+를/JKO
학대	학대/NNG
또는	또는/MAG
유기하거나	유기하/VV+거나/EC
양자의	양자/NNG+의/JKG
복리를	복리/NNG+를/JKO
현저히	현저히/MAG
해하는	해하/VV+는/ETM
경우	경우/NNG
양자의	양자/NNG+의/JKG
신속하고	신속하/VA+고/EC
효율적인	효율적/NNG+이/VCP+ㄴ/ETM
구제를	구제/NNG+를/JKO
위해	위하/VV+여/EC
양친,	양친/NNG+,/SP
양자,	양자/NNG+,/SP
검사	검사/NNG
이외에도	이외/NNG+에/JKB+도/JX
공정성과	공정성/NNG+과/JC
합리성	합리성/NNG
있는	있/VA+는/ETM
제3자에게(사회복지	제/XPN+3/SN+자/NNB+에게/JKB+(/SS+사회복지/NNG
공무원	공무원/NNG
등)도	등/NNB+)/SS+도/JX
파양청구권을	파양청구권/NNG+을/JKO
부여할	부여하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
사랑의	사랑/NNG+의/JKG
집	집/NNG
사건은	사건/NNG+은/JX
장씨가	장/NNP+씨/NNB+가/JKS
지적장애인	지적장애인/NNG
21명을	21/SN+명/NNB+을/JKO
친자로	친자/NNG+로/JKB
등록시킨	등록/NNG+시키/XSV+ㄴ/ETM
후	후/NNG
가정폭력	가정폭력/NNG
및	및/MAG
인권유린을	인권유린/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
사건이다	사건/NNG+이/VCP+다/EC

모	모/MM
언론의	언론/NNG+의/JKG
취재결과	취재결과/NNG
15명의	15/SN+명/NNB+의/JKG
행동이	행동/NNG+이/JKS
모연했고	모연하/VA+었/EP+고/EC
남아	남/VV+아/EC
있던	있/VX+던/ETM
4명의	4/SN+명/NNB+의/JKG
지적장애인은	지적장애인/NNG+은/JX
모두	모두/MAG
삭발당하고	삭발/NNG+당하/XSV+고/EC
몸에는	몸/NNG+에/JKB+는/JX
주소	주소/NNG
등의	등/NNB+의/JKG
문신이	문신/NNG+이/JKS
새겨져	새기/VV+어/EC+지/VX+어/EC
있었다	있/VX+었/EP+다/EF

더욱이	더욱이/MAG
장씨는	장/NNP+씨/NNB+는/JX
아들로	아들/NNG+로/JKB
입적된	입적되/VV+ㄴ/ETM
두	두/MM
장애인을	장애인/NNG+을/JKO
영양실조로	영양실조/NNG+로/JKB
사망에	사망/NNG+에/JKB
이르게	이르/VV+게/EC
하고도	하/VV+고도/EC
병원에	병원/NNG+에/JKB
책임을	책임/NNG+을/JKO
떠넘기며	떠넘기/VV+며/EC
배상을	배상/NNG+을/JKO
요구,	요구/NNG+,/SP
10년과	10/SN+년/NNB+과/JC
12년	12/SN+년/NNB
동안	동안/NNG
병원	병원/NNG
영안실에	영안실/NNG+에/JKB
방치했던	방치하/VV+였/EP+던/ETM
것으로	것/NNB+으로/JKB
확인되면서	확인되/VV+면서/EC
더욱	더욱/MAG
충격을	충격/NNG+을/JKO
안겼다	안기/VV+었/EP+다/EF
