김원숙씨,	김원숙/NNP+씨/NNB+,/SP
김씨	김/NNP+씨/NNB
측은	측/NNB+은/JX
즉각	즉각/MAG
항소할	항소하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

그동안	그동안/NNG
김씨를	김/NNP+씨/NNB+를/JKO
지원해왔던	지원하/VV+여/EC+오/VX+았/EP+던/ETM
실로암장애인자립생활센터는	실로암장애인자립생활센터/NNG+는/JX
“즉각	“/SL+즉각/MAG
항소	항소/NNG
하겠다”며	하/VV+겠/EP+다/EC+”/VV+며/EC
“김씨는	“/SL+김/NNP+씨/NNB+는/JX
법원의	법원/NNG+의/JKG
판결해	판결하/VV+여/EC
분하고	분하/VA+고/EC
억울해	억울하/VA+여/EC
하고	하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC

이어	이어/MAG
“힘에	“/SN+힘/NNG+에/JKB
논리에	논리/NNG+에/JKB
의해	의하/VV+여/EC
판결된	판결되/VV+ㄴ/ETM
느낌이	느낌/NNG+이/JKS
든다	들/VV+ㄴ다/EF

마지막	마지막/NNG
보루인	보루/NNG+이/VCP+ㄴ/ETM
법원마저	법원/NNG+마저/JX
지자체	지자체/NNG
손을	손/NNG+을/JKO
들여	들이/VV+어/EC
주어	주/VX+어/EC
책임을	책임/NNG+을/JKO
회피	회피/NNG
하도록	하/VV+도록/EC
한	하/VX+ㄴ/EF
것은	것/NNB+은/JX
용납하기	용납하/VV+기/ETN
힘들다“고	힘들/VA+다/EC+“/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

법원	법원/NNG
판결	판결/NNG
패소	패소/NNG
후	후/NNG
김원숙(앞줄가운데)씨와	김원숙/NNP+(/SS+앞줄가운데/NNP+)/SS+씨/NNB+와/JC
실로암장애인자립생활센터	실로암/NNP+장애인자립생활센터/NNG
나병택소장(멘앞	나병택소/NNG+장/XSN+(/SS+멘앞/NNG
우측)	우측/NNG+)/SS
및	및/MAG
직원들이	직원/NNG+들/XSN+이/JKS
인터뷰를	인터뷰/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
