천만관객	천만/NR+관객/NNG
영화로,	영화/NNG+로/JKB+,/SP
영화	영화/NNG
속	속/NNG
중국어	중국어/NNP
대사에는	대사/NNG+에/JKB+는/JX
한글자막으로	한글자막/NNG+으로/JKB
처리한	처리하/VV+ㄴ/ETM
반면	반면/NNG
한국어	한국어/NNP
대사에는	대사/NNG+에/JKB+는/JX
자막이	자막/NNG+이/JKS
제공되지	제공되/VV+지/EC
않는다	않/VX+는다/EF

이에	이/NP+에/JKB
'도둑들'을	'/SS+도둑/NNG+들/XSN+'/SS+을/JKO
관람하러	관람하/VV+러/EC
갔던	가/VV+았/EP+던/ETM
청각장애인들이	청각장애인/NNG+들/XSN+이/JKS
영화를	영화/NNG+를/JKO
제대로	제대로/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
없다며	없/VA+다며/EC
민원을	민원/NNG+을/JKO
제기	제기/NNG
하고	하/VV+고/EC
있는	있/VX+는/ETM
만큼,	만큼/NNB+,/SP
제작사나	제작사/NNG+나/JC
배급사,	배급/NNG+사/XSN+,/SP
상영관은	상영관/NNG+은/JX
물론	물론/MAG
영화	영화/NNG
정책을	정책/NNG+을/JKO
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
정부와	정부/NNG+와/JC
입법의	입법/NNG+의/JKG
권한을	권한/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
국회를	국회/NNG+를/JKO
지탄하지	지탄하/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것	것/NNB

이들은	이/NP+들/XSN+은/JX
"막대한	"/SS+막대하/VA+ㄴ/ETM
제작비를	제작비/NNG+를/JKO
사용한	사용하/VV+ㄴ/ETM
영화임에도	영화/NNG+이/VCP+ㅁ에도/EC
외국말에는	외국말/NNG+에/JKB+는/JX
자막을	자막/NNG+을/JKO
달면서	달/VA+면서/EC
한국말에는	한국말/NNG+에/JKB+는/JX
자막을	자막/NNG+을/JKO
달지	달/VV+지/EC
않거나	않/VX+거나/EC
장애인이	장애인/NNG+이/JKS
관람할	관람하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
서비스를	서비스/NNG+를/JKO
않은	않/VV+은/ETM
것은	것/NNB+은/JX
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별"이라며	차별/NNG+"/SS+이/VCP+라며/EC
"장애인들이	"/SS+장애인/NNG+들/XSN+이/JKS
관람할	관람하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
긴급히	긴급히/MAG
대책을	대책/NNG+을/JKO
만들고,	만들/VV+고/EC+,/SP
다시는	다시/MAG+는/JX
이런	이런/MM
차별들이	차별/NNG+들/XSN+이/JKS
일어나지	일어나/VV+지/EC
않도록	않/VX+도록/EC
중장기적인	중장기적/NNG+이/VCP+ㄴ/ETM
장애인	장애인/NNG
영화관람	영화관람/NNG
정책을	정책/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
촉구했다	촉구하/VV+였/EP+다/EC

이어	이어/MAG
"장애인들이	"/SS+장애인/NNG+들/XSN+이/JKS
'도둑들'	'/SS+도둑/NNG+들/XSN+'/SS
영화를	영화/NNG+를/JKO
제대로	제대로/MAG
보지	보/VV+지/EC
못했다며	못하/VX+였/EP+다며/EC
제기했던	제기하/VV+였/EP+던/ETM
민원을	민원/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
영화사나	영화사/NNG+나/JC
상영관,	상영관/NNG+,/SP
정부	정부/NNG
등을	등/NNB+을/JKO
차별인으로	차별인/NNG+으로/JKB
국가인권위원회에	국가인권위원회/NNG+에/JKB
진정을	진정/NNG+을/JKO
할	하/VV+ㄹ/ETM
것"이라면서	것/NNB+"/SS+이/VCP+라면서/EC
"조사되어지는	"/SS+조사되/VV+어/EC+지/VX+는/ETM
과정에서	과정/NNG+에서/JKB
우리단체가	우리/NP+단체/NNG+가/JKS
영화	영화/NNG
'도둑들'을	'/SS+도둑/NNG+들/XSN+'/SS+을/JKO
비롯해	비롯하/VV+여/EC
영화나	영화/NNG+나/JC
영상을	영상/NNG+을/JKO
장애인들의	장애인/NNG+들/XSN+의/JKG
원하는	원하/VV+는/ETM
극장에서	극장/NNG+에서/JKB
보편적으로	보편적/NNG+으로/JKB
관람할	관람하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
때까지	때/NNG+까지/JX
싸워나갈	싸우/VV+어/EC+나가/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF
