폐전선	폐전선/NNG
이양은	이/NNP+양/NNB+은/JX
이사회	이사회/NNG
의결을	의결/NNG+을/JKO
거쳐야	거치/VV+어야/EC
하는	하/VX+는/ETM
사안으로,	사안/NNG+으로/JKB+,/SP
실제로	실제로/MAG
20년간	20/SN+년/NNB+간/XSN
이	이/MM
사업을	사업/NNG+을/JKO
맡아온	맡/VV+아/EC+오/VX+ㄴ/ETM
업자는	업자/NNG+는/JX
따로	따로/MAG
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
밝혀졌다	밝혀지/VV+었/EP+다/EF

A씨는	A/SL+씨/NNB+는/JX
김씨가	김/NNP+씨/NNB+가/JKS
약속을	약속/NNG+을/JKO
이행하지	이행하/VV+지/EC
않자	않/VX+자/EC
지체장애인협회를	지체장애인협회/NNG+를/JKO
상대로	상대/NNG+로/JKB
민사소송을	민사소송/NNG+을/JKO
냈지만	내/VV+었/EP+지만/EC
1억원밖에	1/SN+억/NR+원/NNB+밖에/JX
돌려받지	돌려받/VV+지/EC
못했다	못하/VX+였/EP+다/EC

A씨는	A/SL+씨/NNB+는/JX
화병으로	화병/NNG+으로/JKB
평소	평소/NNG
지병이	지병/NNG+이/JKS
악화해	악화하/VV+여/EC
갑작스럽게	갑작스럽/VA+게/EC
숨졌다	숨지/VV+었/EP+다/EF

김씨의	김/NNP+씨/NNB+의/JKG
범행은	범행/NNG+은/JX
피해자	피해자/NNG
아들이	아들/NNG+이/JKS
유품을	유품/NNG+을/JKO
정리하는	정리하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
허위	허위/NNG
서류와	서류/NNG+와/JC
입금	입금/NNG
명세를	명세/NNG+를/JKO
확인하고	확인하/VV+고/EC
경찰에	경찰/NNG+에/JKB
신고하면서	신고하/VV+면서/EC
들통났다	들통나/VV+았/EP+다/EF

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"김씨는	"/SS+김/NNP+씨/NNB+는/JX
전과	전/NNG+과/JC
11범으로	11/SN+범/NNB+으로/JKB
다수	다수/NNG
동종	동종/NNG
전과가	전과/NNG+가/JKS
있어	있/VA+어/EC
7개월	7/SN+개월/NNB
동안	동안/NNG
도주하다가	도주하/VV+다가/EC
검거됐다"며	검거되/VV+었/EP+다/EF+"/SS+며/EC
"아직도	"/SS+아직/MAG+도/JX
상사가	상사/NNG+가/JKS
장애인협회장에	장애인협회/NNG+장/XSN+에/JKB
당선되면	당선되/VV+면/EC
사업권을	사업/NNG+권/XSN+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있었다고	있/VA+었/EP+다고/EC
말하는	말하/VV+는/ETM
등	등/NNB
반성의	반성/NNG+의/JKG
기미가	기미/NNG+가/JKS
전혀	전혀/MAG
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

redflag@yna	redflag/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
