성폭행범	성폭행/NNG+범/XSN
진상조사위는	진상조사위/NNG+는/JX
9일	9/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
30분	30/SN+분/NNB
서울중앙지검	서울중앙/NNP+지검/NNG
정문	정문/NNG
앞에서	앞/NNG+에서/JKB
대전	대전/NNP
지적장애	지적장애/NNG
여중생	여중생/NNG
성폭행	성폭행/NNG
가해자	가해자/NNG
부정입학	부정입학/NNG
관련자들에	관련자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
고발	고발/NNG
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
고발장을	고발장/NNG+을/JKO
접수할	접수하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
