법원	법원/NNG
이에	이/NP+에/JKB
아동보호전문기관은	아동보호전문기관/NNG+은/JX
아이를	아이/NNG+를/JKO
영아원으로	영아원/NNG+으로/JKB
격리했다	격리하/VV+였/EP+다/EC

재판부는	재판부/NNG+는/JX
"A씨는	"/SS+A/SL+씨/NNB+는/JX
자신이	자신/NNG+이/JKS
키우던	키우/VV+던/ETM
아이를	아이/NNG+를/JKO
별다른	별다르/VA+ㄴ/ETM
이유	이유/NNG
없이	없이/MAG
심하게	심하/VA+게/EC
구타해	구타하/VV+여/EC
사망에	사망/NNG+에/JKB
이르게	이르/VV+게/EC
함으로써	하/VX+ㅁ/ETN+으로써/JKB
유죄	유죄/NNG
판결을	판결/NNG+을/JKO
받아	받/VV+아/EC
장기간	장기간/NNG
수감	수감/NNG
생활을	생활/NNG+을/JKO
해야	하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
전제했다	전제하/VV+였/EP+다/EC

이어	이어/MAG
"아이가	"/SS+아이/NNG+가/JKS
향후	향후/NNG
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
재활치료를	재활치료/NNG+를/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
중증	중증/NNG
장애를	장애/NNG+를/JKO
지녔는데	지니/VV+었/EP+는데/EC
치료를	치료/NNG+를/JKO
위해	위하/VV+여/EC
노력할	노력하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
형편인	형편/NNG+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
고려하면,	고려하/VV+면/EC+,/SP
A씨가	A/SL+씨/NNB+가/JKS
아이의	아이/NNG+의/JKG
건전한	건전하/VA+ㄴ/ETM
성장을	성장/NNG+을/JKO
위해	위하/VV+여/EC
적절하게	적절하/VA+게/EC
친권을	친권/NNG+을/JKO
행사하리라	행사하/VV+리라/EC
기대할	기대하/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

hapyry@yna	hapyry/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
