`도가니'	`/SW+도가니/NNG+'/SS
광주광역시,	광주광역시/NNP+,/SP
광주교육청	광주/NNP+교육청/NNG
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
2억원대	2/SN+억/NR+원/NNB+대/XSN
손해배상	손해배상/NNG
청구소송을	청구소송/NNG+을/JKO
서울중앙지법에	서울중앙/NNP+지법/NNG+에/JKB
냈다	내/VV+었/EP+다/EF

한편,	한편/NNG+,/SP
이날	이날/NNG
재판에서는	재판/NNG+에서/JKB+는/JX
원고	원고/NNG
대리인이	대리인/NNG+이/JKS
청각장애를	청각장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
방청객을	방청객/NNG+을/JKO
위해	위하/VV+여/EC
수화	수화/NNG
통역을	통역/NNG+을/JKO
하게	하/VV+게/EC
해달라고	하/VX+여/EC+달/VX+라고/EC
재판부에	재판부/NNG+에/JKB
요청했다가	요청하/VV+였/EP+다가/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않아	않/VX+아/EC
법정이	법정/NNG+이/JKS
술렁이기도	술렁이/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

원고	원고/NNG
측은	측/NNB+은/JX
"인화학교	"/SS+인화학교/NNG
성폭력대책위원회에서	성폭력대책위원회/NNG+에서/JKB
10여명이	10/SN+여/XSN+명/NNB+이/JKS
재판을	재판/NNG+을/JKO
방청하러	방청하/VV+러/EC
왔다	오/VV+았/EP+다/EF

사법서비스	사법서비스/NNG
측면에서	측면/NNG+에서/JKB
재판을	재판/NNG+을/JKO
수화로	수화/NNG+로/JKB
통역하게	통역하/VA+게/EC
해달라"고	하/VX+여/EC+달/VX+라/EF+"/SS+고/JKQ
요청했다	요청하/VV+였/EP+다/EC

하지만	하지만/MAJ
재판부는	재판부/NNG+는/JX
"원고도	"/SS+원고/NNG+도/JX
아니고	아니/VCN+고/EC
대리인도	대리인/NNG+도/JX
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
불필요하다	불필요하/VA+다/EC

나중에	나중/NNG+에/JKB
원고가	원고/NNG+가/JKS
출석해	출석하/VV+여/EC
원할	원하/VV+ㄹ/ETM
경우	경우/NNG
허락하겠다"고	허락하/VV+겠/EP+다/EF+"/SS+고/JKQ
답했다	답하/VV+였/EP+다/EF

법원	법원/NNG
관계자는	관계자/NNG+는/JX
"당사자가	"/SS+당사자/NNG+가/JKS
청각장애인이면	청각장애인/NNG+이/VCP+면/EC
반드시	반드시/MAG
통역하도록	통역하/VV+도록/EC
규정돼	규정되/VV+어/EC
있지만	있/VX+지만/EC
방청객에	방청객/NNG+에/JKB
관해서는	관하/VV+여서/EC+는/JX
규정이	규정/NNG+이/JKS
없다	없/VA+다/EC

원고	원고/NNG
대리인	대리인/NNG
측에서	측/NNB+에서/JKB
사전에	사전/NNG+에/JKB
협의한	협의하/VV+ㄴ/ETM
적	적/NNB
없이	없이/MAG
법정에서	법정/NNG+에서/JKB
즉석	즉석/NNG
신청해	신청하/VV+여/EC
받아들이지	받아들이/VV+지/EC
않은	않/VX+은/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전했다	전하/VV+었/EP+다/EC

이	이/MM
관계자는	관계자/NNG+는/JX
"원고가	"/SS+원고/NNG+가/JKS
출석하면	출석하/VV+면/EC
통역을	통역/NNG+을/JKO
제공할	제공하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

또	또/MAG
방청인이	방청인/NNG+이/JKS
대동하는	대동하/VV+는/ETM
통역인도	통역인/NNG+도/JX
신뢰성을	신뢰성/NNG+을/JKO
보증하기	보증하/VV+기/ETN
위해	위하/VV+여/EC
자료를	자료/NNG+를/JKO
갖춰서	갖추/VV+어서/EC
사전에	사전/NNG+에/JKB
신청하면	신청하/VV+면/EC
다음	다음/NNG
변론기일부터	변론/VV+기/ETN+일/NNB+부터/JX
허가를	허가/NNG+를/JKO
검토할	검토하/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

hanjh@yna	hanjh/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
