檢,	檢/SL+,/SP
“검찰측에서	“/SL+검찰/NNG+측/NNB+에서/JKB
앞서	앞서/VV+어/EC
기록을	기록/NNG+을/JKO
제대로	제대로/MAG
파악하고,	파악하/VV+고/EC+,/SP
대법원의	대법원/NNG+의/JKG
재심	재심/NNG
취지를	취지/NNG+를/JKO
확인해	확인하/VV+여/EC
상황을	상황/NNG+을/JKO
판단했어야	판단하/VV+였/EP+어야/EC
하는데	하/VX+는데/EC
그저	그저/MAG
형식적으로	형식적/NNG+으로/JKB
원심과	원심/NNG+과/JC
같이	같이/MAG
구형한	구형하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
불과해서	불과하/VA+여서/EC
안타깝다”며	안타깝/VA+다/EC+”/VV+며/EC
“사회적	“/SN+사회적/NNG
약자를	약자/NNG+를/JKO
검찰이	검찰/NNG+이/JKS
어떻게	어떻/VA+게/EC
생각하고	생각하/VV+고/EC
있는지	있/VX+는지/EC
나타나는	나타나/VV+는/ETM
결과”라고	결과”/NNG+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

앞서	앞서/MAG
정씨는	정/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
5월17일	5/SN+월/NNB+17/SN+일/NNB
새벽	새벽/NNG
수원의	수원/NNP+의/JKG
한	한/MM
고등학교	고등학교/NNG
화단에서	화단/NNG+에서/JKB
노숙자	노숙자/NNG
김모양을	김/NNP+모/NP+양/NNB+을/JKO
폭행해	폭행하/VV+여/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/EF
혐의로	혐의/NNG+로/JKB
기소돼	기소되/VV+어/EC
항소심에서	항소심/NNG+에서/JKB
징역	징역/NNG
5년을	5/SN+년/NNB+을/JKO
선고받고,	선고/NNG+받/VV+고/EC+,/SP
만기	만기/NNG
출소한	출소하/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

정씨는	정/NNP+씨/NNB+는/JX
수사	수사/NNG
과정에서	과정/NNG+에서/JKB
범행을	범행/NNG+을/JKO
자백했으나	자백하/VV+였/EP+으나/EC
재판이	재판/NNG+이/JKS
시작되자	시작되/VV+자/EC
'수사기관의	'/SS+수사기관/NNG+의/JKG
회유에	회유/NNG+에/JKB
못이겨	못/MAG+이기/VV+어/EC
허위	허위/NNG
자백했고,	자백하/VV+였/EP+고/EC+,/SP
사실은	사실/NNG+은/JX
노숙소녀를	노숙소녀/NNG+를/JKO
죽이지	죽이/VV+지/EC
않았다'는	않/VX+았/EP+다/EF+'/SS+는/JX
취지로	취지/NNG+로/JKB
진술을	진술/NNG+을/JKO
번복해	번복하/VV+여/EC
위증	위증/NNG
혐의로	혐의/NNG+로/JKB
추가기소됐다	추가기소/NNG+되/XSV+었/EP+다/EF

그러나	그러나/MAJ
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
대법원은	대법원/NNG+은/JX
정씨가	정/NNP+씨/NNB+가/JKS
신청한	신청하/VV+ㄴ/ETM
재심	재심/NNG
기각	기각/NNG
결정에	결정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재항고에	재항고/NNG+에/JKB
대해	대하/VV+여/EC
"종전	"/SS+종전/NNG
소송절차에서	소송절차/NNG+에서/JKB
다뤄지지	다루/VV+어/EC+지/VX+지/EC
않았던	않/VX+았/EP+던/ETM
수원역	수원역/NNP
내	내/NNB
CCTV	CCTV/SL
화면은	화면/NNG+은/JX
정씨의	정/NNP+씨/NNB+의/JKG
유죄판결을	유죄판결/NNG+을/JKO
유지하기	유지하/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도의	정도/NNG+의/JKG
명백한	명백하/VA+ㄴ/ETM
증거'에	증거/NNG+'/SS+에/JKB
해당된다"며	해당되/VV+ㄴ다/EF+"/SS+며/EC
원심	원심/NNG
결정을	결정/NNG+을/JKO
파기환송과	파기환송/NNG+과/JC
함게	함게/NNG
정씨의	정/NNP+씨/NNB+의/JKG
위증	위증/NNG
혐의에	혐의/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
무죄로	무죄/NNG+로/JKB
내린	내리/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

한편,	한편/NNG+,/SP
정	정/NNP
씨에	씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
선고	선고/NNG
공판은	공판/NNG+은/JX
오는	오/VV+는/ETM
25일	25/SN+일/NNB
오전에	오전/NNG+에/JKB
열릴	열리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
