심상정,	심상정/NNP+,/SP
주장했다	주장하/VV+였/EP+다/EC

앞서	앞서/MAG
문재인	문재인/NNP
후보와	후보/NNG+와/JC
안철수	안철수/NNP
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
효창동	효창동/NNP
백범김구기념관	백범김구기/NNP+념관/NNG
대회의실에서	대/XPN+회의실/NNG+에서/JKB
단일화	단일화/NNG
TV	TV/SL
토론회를	토론회/NNG+를/JKO
통해	통하/VV+여/EC
정치,	정치/NNG+,/SP
경제,	경제/NNG+,/SP
사회,	사회/NNG+,/SP
문화	문화/NNG
등의	등/NNB+의/JKG
의제에	의제/NNG+에/JKB
대해	대하/VV+여/EC
토의했다	토의하/VV+였/EP+다/EF
