최동익	최동익/NNP
추궁할	추궁하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

장	장/NNP
전	전/MM
의원은	의원/NNG+은/JX
권모	권/NNP+모/NP
전	전/MM
한국시각장애인연합회장으로부터	한국/NNP+시각장애인연합회장/NNG+으로부터/JKB
민주당	민주당/NNP
비례대표	비례대표/NNG
후보로	후보/NNG+로/JKB
추천해달라는	추천하/VV+여/EC+달/VX+라는/ETM
부탁과	부탁/NNG+과/JKB
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
부산의	부산/NNP+의/JKG
한	한/MM
호텔에서	호텔/NNG+에서/JKB
300만원을,	300/SN+만/NR+원/NNB+을/JKO+,/SP
2월	2/SN+월/NNB
자신의	자신/NNG+의/JKG
부산	부산/NNP
금정구	금정구/NNP
4·11	4/SN+·/SP+11/SN
총선	총선/NNG
예비후보자	예비후보자/NNG
선거사무소에서	선거사무소/NNG+에서/JKB
3천만원을	3/SN+천만/NR+원/NNB+을/JKO
각각	각각/MAG
받은	받/VV+은/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다	있/VX+다/EC

권씨는	권/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
소환조사에서	소환조사/NNG+에서/JKB
범행일체를	범행일체/NNG+를/JKO
자백했다	자백하/VV+였/EP+다/EC

검찰은	검찰/NNG+은/JX
10월	10/SN+월/NNB
첫째	첫째/NR
주에	주/NNB+에/JKB
수사를	수사/NNG+를/JKO
마무리하고	마무리하/VV+고/EC
장	장/NNP
전	전/MM
의원	의원/NNG
등을	등/NNB+을/JKO
불구속	불구속/NNG
기소한다는	기소하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

youngkyu@yna	youngkyu/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
