장애인	장애인/NNG
수험생(두	수험생/NNG+(/SS+두/MM
눈의	눈/NNG+의/JKG
교정시력이	교정시력/NNG+이/JKS
0	0/SN

04이상	04/SN+이상/NNG
0	0/SN

3미만인	3/SN+미/NR+만/NNB+이/VCP+ㄴ/ETM
자)은	자/NNB+)/SS+은/JX
확대독서기를	확대독서기/NNG+를/JKO
사용(개인	사용/NNG+(/SS+개인/NNG
지참)할	지참/NNG+)/SS+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
수험생이	수험생/NNG+이/JKS
원할	원하/VV+ㄹ/ETM
경우	경우/NNG
확대문제지(118%,	확대문제지/NNG+(/SS+118/SN+%/SW+,/SP
200%,	200/SN+%/SW+,/SP
350%	350/SN+%/SW
중	중/NNB
택	택/NNG
1)가	1/SN+)/SS+가/JKS
주어진다	주어지/VV+ㄴ다/EC

시험시간은	시험시간/NNG+은/JX
매	매/MM
교시별	교시별/NNG
1	1/SN

5배	5/SN+배/NNG
연장된다	연장되/VV+ㄴ다/EF

뇌병변장애	뇌병변장애/NNG
수험생도	수험생/NNG+도/JX
매	매/MM
교시별	교시별/NNG
1	1/SN

5배의	5/SN+배/NNG+의/JKG
시험시간을	시험시간/NNG+을/JKO
연장	연장/NNG
받는다	받/VV+는다/EC

원하는	원하/VV+는/ETM
수험생에	수험생/NNG+에/JKB
한해	한하/VV+여/EC
답안지	답안지/NNG
작성시	작성/NNG+시/NNB
이기요원의	이기요원/NNG+의/JKG
도움을	도움/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

청각장애	청각장애/NNG
수험생은	수험생/NNG+은/JX
청력의	청력/NNG+의/JKG
손실	손실/NNG
정도에	정도/NNG+에/JKB
따라	따르/VV+아/EC
지필검사	지필검사/NNG
대상자와	대상자/NNG+와/JC
보청기	보청기/NNG
사용	사용/NNG
대상자로	대상자/NNG+로/JKB
나눠진다	나누/VV+어/EC+지/VX+ㄴ다/EF

지필검사를	지필/NNP+검사/NNG+를/JKO
희망하는	희망하/VV+는/ETM
학생은	학생/NNG+은/JX
듣기	듣/VV+기/ETN
평가	평가/NNG
문항을	문항/NNG+을/JKO
대본으로	대본/NNG+으로/JKB
받아	받/VV+아/EC
문제를	문제/NNG+를/JKO
풀게	풀/VV+게/EC
되고,	되/VV+고/EC+,/SP
보청기	보청기/NNG
사용	사용/NNG
대상자는	대상자/NNG+는/JX
보청기를	보청기/NNG+를/JKO
사용해	사용하/VV+여/EC
듣기평가를	듣기평가/NNG+를/JKO
치른다	치르/VV+ㄴ다/EC

시험시간은	시험시간/NNG+은/JX
비장애인수험생과	비장애인수험생/NNG+과/JKB
동일하다	동일하/VA+다/EC

이번	이번/NNG
수능	수능/NNG
성적통지표는	성적통지표/NNG+는/JX
11월	11/SN+월/NNB
28일까지	28/SN+일/NNB+까지/JX
수험생에게	수험생/NNG+에게/JKB
배부될	배부되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

재학생은	재학생/NNG+은/JX
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
학교,	학교/NNG+,/SP
졸업생	졸업생/NNG
및	및/MAG
검정고시	검정고시/NNG
수험생	수험생/NNG
등은	등/NNB+은/JX
원서를	원서/NNG+를/JKO
접수한	접수하/VV+ㄴ/ETM
기관에서	기관/NNG+에서/JKB
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EF

수능	수능/NNG
문제와	문제/NNG+와/JC
정답은	정답/NNG+은/JX
수능	수능/NNG
당일	당일/NNG
시각장애	시각장애/NNG
수험생의	수험생/NNG+의/JKG
매	매/MM
교시	교시/NNG
시험	시험/NNG
종료	종료/NNG
후	후/NNG
한국교육과정평가원	한국교육과정평가원/NNP
홈페이지(www	홈페이지/NNG+(/SS+www/SL

kice	kice/SL

re	re/SL

kr)에	kr/SL+)/SS+에/JKB
공개된다	공개되/VV+ㄴ다/EF

한편	한편/MAG
지난	지나/VV+ㄴ/ETM
2012학년도	2012/SN+학년도/NNG
수능에는	수능/NNG+에/JKB+는/JX
960명의	960/SN+명/NNB+의/JKG
시험특별관리대상자들이	시험특별관리대상자/NNG+들/XSN+이/JKS
응시했다	응시하/VV+였/EP+다/EC
